title,body,labels,status,milestones
[20pt] Project Management,Ultimately drive the completion of the effort and communicate about the status clearly and proactively,task,open,version 0.1
[10pt] Direction,Offer direction to task assignees and clarify any pending questions,task,open,version 0.1
[8pt] Animal - Marmot Animation,Create all animations for Marmot in Blender3D.,task,open,version 0.1
[1pt] Animal - Marmot Rigging,Create the animation rig for Marmot in Blender3D.,task,open,version 0.1
[8pt] Animal - Marten Animation,Create all animations for Marten in Blender3D.,task,open,version 0.1
[1pt] Animal - Marten Rigging,Create the animation rig for Marten in Blender3D.,task,open,version 0.1
[8pt] Animal - Fisher Animation,Create all animations for Fisher in Blender3D.,task,open,version 0.1
[1pt] Animal - Fisher Rigging,Create the animation rig for Fisher in Blender3D.,task,open,version 0.1
[8pt] Animal - Badger Animation,Create all animations for Badger in Blender3D.,task,open,version 0.1
[1pt] Animal - Badger Rigging,Create the animation rig for Badger in Blender3D.,task,open,version 0.1
[8pt] Animal - Beaver Animation,Create all animations for Beaver in Blender3D.,task,open,version 0.1
[1pt] Animal - Beaver Rigging,Create the animation rig for Beaver in Blender3D.,task,open,version 0.1
[10pt] Animal - Small Birds Animation,Create all animations for Small Birds in Blender3D.,task,open,version 0.1
[10pt] Animal - Small Birds Rigging,Create the animation rig for Small Birds in Blender3D.,task,open,version 0.1
[8pt] Animal - Bison Animation,Create all animations for Bison in Blender3D.,task,open,version 0.1
[1pt] Animal - Bison Rigging,Create the animation rig for Bison in Blender3D.,task,open,version 0.1
[8pt] Animal - Black Bear Animation,Create all animations for Black Bear  in Blender3D.,task,open,version 0.1
[1pt] Animal - Black Bear Rigging,Create the animation rig for Black Bear in Blender3D.,task,open,version 0.1
[8pt] Animal - Bobcat Animation,Create all animations for Bobcat in Blender3D.,task,open,version 0.1
[1pt] Animal - Bobcat Rigging,Create the animation rig for Bobcat in Blender3D.,task,open,version 0.1
[8pt] Animal - Brown Bear Animation,Create all animations for Brown Bear  in Blender3D.,task,open,version 0.1
[1pt] Animal - Brown Bear Rigging,Create the animation rig for Brown Bear in Blender3D.,task,open,version 0.1
[8pt] Animal - Cougar Animation,Create all animations for Cougar in Blender3D.,task,open,version 0.1
[1pt] Animal - Cougar Rigging,Create the animation rig for Cougar in Blender3D.,task,open,version 0.1
[8pt] Animal - Coyote Animation,Create all animations for Coyote in Blender3D.,task,open,version 0.1
[1pt] Animal - Coyote Rigging,Create the animation rig for Coyote in Blender3D.,task,open,version 0.1
[8pt] Animal - Deer Animation,Create all animations for Deer in Blender3D.,task,open,version 0.1
[1pt] Animal - Deer Rigging,Create the animation rig for Deer in Blender3D.,task,open,version 0.1
[8pt] Animal - Duck Animation,Create all animations for Duck in Blender3D.,task,open,version 0.1
[2pt] Animal - Duck Rigging,Create the animation rig for Duck in Blender3D.,task,open,version 0.1
[10pt] Animal - Eagle/Hawk/Falcon Animation,Create all animations for Eagle/Hawk/Falcon in Blender3D.,task,open,version 0.1
[10pt] Animal - Eagle/Hawk/Falcon Rigging,Create the animation rig for Eagle/Hawk/Falcon in Blender3D.,task,open,version 0.1
[8pt] Animal - Elk Animation,Create all animations for Elk in Blender3D.,task,open,version 0.1
