title,body,labels,status,milestones
[20pt] Audio Project Management,Ultimately drive the completion of the effort and communicate about the status clearly and proactively,task,open,version 0.1
[10pt] Audio Direction,Offer direction to task assignees and clarify any pending questions,task,open,version 0.1
[20pt] Music Project Management,Ultimately drive the completion of the effort and communicate about the status clearly and proactively,task,open,version 0.1
[10pt] Music Direction,Offer direction to task assignees and clarify any pending questions,task,open,version 0.1
[10pt] Voice Project Management,Ultimately drive the completion of the effort and communicate about the status clearly and proactively,task,open,version 0.1
[10pt] Voice Direction,Offer direction to task assignees and clarify any pending questions,task,open,version 0.1
[40pt] Audio Editing,Additional editing of any audio and SFX clips that need adjustment,task,open,version 0.1
[20pt] Audio & SFX Sourcing,Finding SFX clips for various elements.,task,open,version 0.1
[40pt] Audio QC Development Testing,Testing of any and all audio and SFX behavior.,task,open,version 0.1
[40pt] Reactive Audio Design & Framework,Create a framework in Unity that allows audio data to be fed back into the C# scripting side,task,open,version 0.1
[40pt] SFX Design - Animals,Audio SFX design for animals,task,open,version 0.1
[20pt] SFX Design - Character,Audio SFX design for character,task,open,version 0.1
[20pt] SFX Design - Environment,Audio SFX design for environment,task,open,version 0.1
[20pt] SFX Design - Crafting,Audio SFX design for crafting,task,open,version 0.1
[20pt] SFX Design - Combat,Audio SFX design for combat,task,open,version 0.1
[20pt] SFX Design - Tools,Audio SFX design for tools,task,open,version 0.1
[20pt] SFX Design - Impacts,Audio SFX design for impacts,task,open,version 0.1
[20pt] SFX Design - Fire,Audio SFX design for fire,task,open,version 0.1
[10pt] SFX Design - UI/UX,Audio SFX design for UI/UX interactions,task,open,version 0.1
[100pt] SFX Design - General,General placeholder for additional SFX design,task,open,version 0.1
[40pt] Audio Synchronization,Synchronization of audio with animation & programming systems.,task,open,version 0.1
[20pt] Audio Mixing,Manage the game's audio mix.,task,open,version 0.1
[8pt] Voice - Audio Editing,Editing of the voice recordings into usable SFX,task,open,version 0.1
[3pt] Voice - Casting,Casting of the voice talent,task,open,version 0.1
[5pt] Voice - Dialect Coach,Dialect coach for the character sound effects recording sessions,task,open,version 0.1
[8pt] Voice - Production,Audio production for the character sound effects,task,open,version 0.1
[8pt] Voice - Recording Engineer,Recording engineer for the character sound effects,task,open,version 0.1
[8pt] Voice - Voice Talent,Voice talent for the character sound effects,task,open,version 0.1
[80pt] Music - Soundtrack - Composition,Composition of music for the soundtrack,task,open,version 0.1
[5pt] Music - Soundtrack - Conducting,Conducting musicians during the recording of the soundtrack,task,open,version 0.1
[1pt] Music - Soundtrack - Contracting,Contracting musicians and staff for the recording of the soundtrack,task,open,version 0.1
[5pt] Music - Soundtrack - Licensing,Licensing of any music materials for the soundtrack,task,open,version 0.1
[5pt] Music - Soundtrack - Mastering,Master the recordings of the soundtrack,task,open,version 0.1
[8pt] Music - Soundtrack - Mixing,Mixing the recordings of the soundtrack,task,open,version 0.1
[1pt] Music - Soundtrack - Music Librarian,Managing the music library for the soundtrack,task,open,version 0.1
[8pt] Music - Soundtrack - Orchestration,Orchestrating the composition to the available musicians for the soundtrack,task,open,version 0.1
[20pt] Music - Soundtrack - Performance,Musical performance of for the recording of the soundtrack,task,open,version 0.1
[20pt] Music - Soundtrack - Production,Production of recording of the soundtrack,task,open,version 0.1
[8pt] Music - Soundtrack - Publishing,Publication of the soundtrack via online stores,task,open,version 0.1
[20pt] Music - Soundtrack - Recording,Recording and engineering the soundtrack,task,open,version 0.1
[8pt] Music - Trailer - Composition,Composition of music for the trailer,task,open,version 0.1
[1pt] Music - Trailer - Conducting,Conducting musicians during the recording of the trailer,task,open,version 0.1
[1pt] Music - Trailer - Contracting,Contracting musicians and staff for the recording of the trailer,task,open,version 0.1
[1pt] Music - Trailer - Licensing,Licensing of any music materials for the trailer,task,open,version 0.1
[1pt] Music - Trailer - Mastering,Master the recordings of the trailer,task,open,version 0.1
[1pt] Music - Trailer - Mixing,Mixing the recordings of the trailer,task,open,version 0.1
[1pt] Music - Trailer - Music Librarian,Managing the music library for the trailer,task,open,version 0.1
[2pt] Music - Trailer - Orchestration,Orchestrating the composition to the available musicians for the trailer,task,open,version 0.1
[6pt] Music - Trailer - Performance,Musical performance for the recording of the trailer,task,open,version 0.1
[3pt] Music - Trailer - Production,Production of recording of the trailer,task,open,version 0.1
[3pt] Music - Trailer - Recording,Recording and engineering the trailer,task,open,version 0.1
[3pt] Music - Trailer - Voice Direction,Voice direction for the trailer,task,open,version 0.1
[3pt] Music - Trailer - Voice Talent,Voice acting for the trailer,task,open,version 0.1
