title,body,labels,status,milestones
[80pt] Project Management,Ultimately drive the completion of the effort and communicate about the status clearly and proactively,task,open,version 0.1
[80pt] Direction,Offer direction to task assignees and clarify any pending questions,task,open,version 0.1
[8pt] Accessibility - Audio,,task,open,version 0.1
[3pt] Accessibility - Ergonomics,,task,open,version 0.1
[8pt] Accessibility - Launch & Menu,,task,open,version 0.1
[8pt] Accessibility - Physical,,task,open,version 0.1
[8pt] Accessibility - Settings,,task,open,version 0.1
[8pt] Accessibility - Visual,,task,open,version 0.1
[40pt] Architecture - Application Architecture,Design the application architecture and document it.,task,open,version 0.1
[10pt] Architecture - Asset Bundle Architecture,Design the asset architecture and document it.,task,open,version 0.1
[20pt] Architecture - Asset Pipeline Architecture,Design the asset architecture and document it.,task,open,version 0.1
[20pt] Architecture - Gameplay Architecture,Design the gameplay architecture and document it.,task,open,version 0.1
[20pt] Architecture - Input Architecture,Design the input architecture and document it.,task,open,version 0.1
[20pt] Architecture - Middleware Integration Architecture,Design the middleware architecture and document it.,task,open,version 0.1
[20pt] Architecture - Release Pipeline Architecture,Design the release architecture and document it.,task,open,version 0.1
[30pt] Architecture - Rendering Architecture,Design the rendering architecture and document it.,task,open,version 0.1
[20pt] Architecture - Sound Architecture,Design the sound architecture and document it.,task,open,version 0.1
[20pt] Asset Management - Asset Bundle Delivery,,task,open,version 0.1
[10pt] Asset Management - Asset Bundle Design,,task,open,version 0.1
[30pt] Framework - Camera & Visual,,task,open,version 0.1
[40pt] Framework - Character,,task,open,version 0.1
[40pt] Framework - Combat,,task,open,version 0.1
[40pt] Framework - Crafting,,task,open,version 0.1
[30pt] Framework - Events,,task,open,version 0.1
[40pt] Framework - Gameplay,,task,open,version 0.1
[30pt] Framework - Input Framework,,task,open,version 0.1
[40pt] Framework - Localization,,task,open,version 0.1
[40pt] Framework - Sound Framework,,task,open,version 0.1
[20pt] Framework - Time Of Day,,task,open,version 0.1
[20pt] Framework - Game/Time Speed,,task,open,version 0.1
[40pt] Framework - UI,,task,open,version 0.1
[40pt] Framework - Unity Engine,,task,open,version 0.1
[20pt] Framework - Weather,,task,open,version 0.1
[80pt] Framework - Animal AI,,task,open,version 0.1
[80pt] Framework - Character Anatomy,,task,open,version 0.1
[40pt] Framework - Navigation System,,task,open,version 0.1
[10pt] Input - Keyboard,,task,open,version 0.1
[10pt] Input - Mouse,,task,open,version 0.1
[20pt] Input - Controller,,task,open,version 0.1
[3pt] Input - Controller - Steam,,task,open,version 0.1
[3pt] Input - Controller - PS4/5,,task,open,version 0.1
[3pt] Input - Controller - XB,,task,open,version 0.1
