title,body,labels,status,milestones
[40pt] Project Management,Ultimately drive the completion of the effort and communicate about the status clearly and proactively,task,open,version 0.1
[40pt] Direction,Offer direction to task assignees and clarify any pending questions,task,open,version 0.1
[60pt] Game Design,Placeholder for general game design tasks,task,open,version 0.1
[40pt] Gameplay Input,Design how the input system achieves all of the gameplay mechanics,task,open,version 0.1
[40pt] Trailer Design,Design the launch trailer,task,open,version 0.1
[80pt] Feature Design - Direction,Offer direction to task assignees and clarify any pending questions,task,open,version 0.1
[30pt] Feature Design - Combat,Design and document the feature for development,task,open,version 0.1
[20pt] Feature Design - Tree Cutting,Design and document the feature for development,task,open,version 0.1
[30pt] Feature Design - Health,Design and document the feature for development,task,open,version 0.1
[30pt] Feature Design - Archery,Design and document the feature for development,task,open,version 0.1
[30pt] Feature Design - Crafting,Design and document the feature for development,task,open,version 0.1
[30pt] Feature Design - Clothing,Design and document the feature for development,task,open,version 0.1
[30pt] Feature Design - Skills Progression,Design and document the feature for development,task,open,version 0.1
[30pt] Feature Design - Exploration & Navigation,Design and document the feature for development,task,open,version 0.1
[30pt] Feature Design - Animal Engagements,Design and document the feature for development,task,open,version 0.1
[30pt] Feature Design - Hunting & Tracking,Design and document the feature for development,task,open,version 0.1
[10pt] Feature Design - Animal Processing,Design and document the feature for development,task,open,version 0.1
[30pt] Feature Design - Weather,Design and document the feature for development,task,open,version 0.1
[30pt] Feature Design - Swimming,Design and document the feature for development,task,open,version 0.1
[30pt] Feature Design - Boating,Design and document the feature for development,task,open,version 0.1
[30pt] Feature Design - Caves,Design and document the feature for development,task,open,version 0.1
[30pt] Feature Design - Night & Day,Design and document the feature for development,task,open,version 0.1
[30pt] Feature Design - Character Vision,Design and document the feature for development,task,open,version 0.1
[30pt] Feature Design - Character Sensory,Design and document the feature for development,task,open,version 0.1
[30pt] Feature Design - Character Experience,Design and document the feature for development,task,open,version 0.1
[30pt] Feature Design - Camera POV,Design and document the feature for development,task,open,version 0.1
[10pt] World Design - Direction,Offer direction to task assignees and clarify any pending questions,task,open,version 0.1
[10pt] World Design - Ponds (Research),Research the environment assets needed for the Ponds,task,open,version 0.1
[10pt] World Design - Ponds (In-Engine),Setup in Unity3D the environment assets needed for the Ponds,task,open,version 0.1
[20pt] World Design - Ponds (System Integration),Integrate the environment assets needed for the Ponds with the rest of the system,task,open,version 0.1
[10pt] World Design - Rivers & Streams (Research),Research the environment assets needed for the Rivers & Streams,task,open,version 0.1
[20pt] World Design - Rivers & Streams (In-Engine),Setup in Unity3D the environment assets needed for the Rivers & Streams,task,open,version 0.1
[20pt] World Design - Rivers & Streams (System Integration),Integrate the environment assets needed for the Rivers & Streams with the rest of the system,task,open,version 0.1
