title,body,labels,status,milestones
[20pt] Project Management,Ultimately drive the completion of the effort and communicate about the status clearly and proactively,management,open,version 0.1
[20pt] Direction,Offer direction to task assignees and clarify any pending questions,management,open,version 0.1
[30pt] Product Review - Direction & Management,Lead product reviews and provide necessary materials and present feedback to team.,management,open,version 0.1
[10pt] Product Review - Catawba,Review Keepers Of Creation with the Catawba nation(s).,task,open,version 0.1
[10pt] Product Review - Cayuga,Review Keepers Of Creation with the Cayuga nation(s).,task,open,version 0.1
[10pt] Product Review - Cherokee,Review Keepers Of Creation with the Cherokee nation(s).,task,open,version 0.1
[10pt] Product Review - Chickasaw,Review Keepers Of Creation with the Chickasaw nation(s).,task,open,version 0.1
[10pt] Product Review - Choctaw,Review Keepers Of Creation with the Choctaw nation(s).,task,open,version 0.1
[10pt] Product Review - Delaware,Review Keepers Of Creation with the Delaware nation(s).,task,open,version 0.1
[10pt] Product Review - Huron,Review Keepers Of Creation with the Huron nation(s).,task,open,version 0.1
[10pt] Product Review - Meherrin,Review Keepers Of Creation with the Meherrin nation(s).,task,open,version 0.1
[10pt] Product Review - Miami,Review Keepers Of Creation with the Miami nation(s).,task,open,version 0.1
[10pt] Product Review - Mohawk,Review Keepers Of Creation with the Mohawk nation(s).,task,open,version 0.1
[10pt] Product Review - Mohican,Review Keepers Of Creation with the Mohican nation(s).,task,open,version 0.1
[10pt] Product Review - Monacan,Review Keepers Of Creation with the Monacan nation(s).,task,open,version 0.1
[10pt] Product Review - Muskogee,Review Keepers Of Creation with the Muskogee nation(s).,task,open,version 0.1
[10pt] Product Review - Nanticoke,Review Keepers Of Creation with the Nanticoke nation(s).,task,open,version 0.1
[10pt] Product Review - Oneida,Review Keepers Of Creation with the Oneida nation(s).,task,open,version 0.1
[10pt] Product Review - Onondaga,Review Keepers Of Creation with the Onondaga nation(s).,task,open,version 0.1
[10pt] Product Review - Osage,Review Keepers Of Creation with the Osage nation(s).,task,open,version 0.1
[10pt] Product Review - Peoria,Review Keepers Of Creation with the Peoria nation(s).,task,open,version 0.1
[10pt] Product Review - Seneca,Review Keepers Of Creation with the Seneca nation(s).,task,open,version 0.1
[10pt] Product Review - Shawnee,Review Keepers Of Creation with the Shawnee nation(s).,task,open,version 0.1
[10pt] Product Review - Tuscarora,Review Keepers Of Creation with the Tuscarora nation(s).,task,open,version 0.1
[20pt] Brand & Marketing - Direction,Ultimately drive the game's branding efforts and communicate about the status clearly and proactively,management,open,version 0.1
[40pt] Brand & Marketing - Public Relations,Manage PR for Keepers Of Creation,task,open,version 0.1
[40pt] Brand & Marketing - Press Relations,Manage press for Keepers Of Creation,task,open,version 0.1
[30pt] Brand & Marketing - Promotionas,Manage promotions planning and execution,task,open,version 0.1
[20pt] Brand & Marketing - Promotional Image 2D Compositing,Create promotional materials for Keepers Of Creation,task,open,version 0.1
[20pt] Brand & Marketing - Promotional Image Scene Setup,Create Unity/Blender scenes to create content for promotional materials,task,open,version 0.1
[20pt] Brand & Marketing - App Store Image 2D Compositing,Create app stores materials for Keepers Of Creation,task,open,version 0.1
[20pt] Brand & Marketing - App Store Image Scene Setup,Create Unity/Blender scenes to create content for app stores,task,open,version 0.1
[80pt] Brand & Marketing - Marketing Lead,Digital marketing efforts for Keepers Of Creation,task,open,version 0.1
[40pt] Brand & Marketing - Digital Influence,Outreach and management of YouTube and Streaming efforts,task,open,version 0.1
[30pt] Brand & Marketing - Social Media Management,Manage the game's social media presence,task,open,version 0.1
[30pt] Brand & Marketing - Social Media Content Creation,Create content for the game's social media,task,open,version 0.1
[20pt] Brand & Marketing - Promotional Writing,Writing to help with marketing the game,task,open,version 0.1
[20pt] Brand & Marketing - Web Development,Web development to help with marketing the game,task,open,version 0.1
[50pt] Brand & Marketing - Sales Planning and Integration,Plan and analyze game sales,task,open,version 0.1
