title,body,labels,status,milestones
[20pt] Project Management,Ultimately drive the completion of the effort and communicate about the status clearly and proactively,task,open,version 0.1
[20pt] Direction,Offer direction to task assignees and clarify any pending questions,task,open,version 0.1
[8pt] appa-extension-manager,Manages extensions hosted in private NPM registries.,task,open,version 0.1
[8pt] appa,VSCode extension for Appalachia Interactive development.,task,open,version 0.1
[8pt] com.appalachia.dotnet.mdabros.sharp-learning,See this repository [here](https://github.com/AppalachiaInteractive/com.appalachia.dotnet.mdabros.sharp-learning).  It may be a private repository,task,open,version 0.1
[8pt] com.appalachia.node.html-diff,See this repository [here](https://github.com/AppalachiaInteractive/com.appalachia.node.html-diff).  It may be a private repository,task,open,version 0.1
[8pt] com.appalachia.unity3d.amplify.impostors,See this repository [here](https://github.com/AppalachiaInteractive/com.appalachia.unity3d.amplify.impostors).  It may be a private repository,task,open,version 0.1
[8pt] com.appalachia.unity3d.appa.collections.mathematics,See this repository [here](https://github.com/AppalachiaInteractive/com.appalachia.unity3d.appa.collections.mathematics).  It may be a private repository,task,open,version 0.1
[8pt] com.appalachia.unity3d.appa.collections.native,See this repository [here](https://github.com/AppalachiaInteractive/com.appalachia.unity3d.appa.collections.native).  It may be a private repository,task,open,version 0.1
[8pt] com.appalachia.unity3d.appa.collections.pooling,See this repository [here](https://github.com/AppalachiaInteractive/com.appalachia.unity3d.appa.collections.pooling).  It may be a private repository,task,open,version 0.1
[8pt] com.appalachia.unity3d.appa.core,See this repository [here](https://github.com/AppalachiaInteractive/com.appalachia.unity3d.appa).  It may be a private repository,task,open,version 0.1
[8pt] com.appalachia.unity3d.appa.core.asset-metadata,See this repository [here](https://github.com/AppalachiaInteractive/com.appalachia.unity3d.appa.asset-metadata).  It may be a private repository,task,open,version 0.1
[8pt] com.appalachia.unity3d.appa.core.attributes,See this repository [here](https://github.com/AppalachiaInteractive/com.appalachia.unity3d.appa.attributes).  It may be a private repository,task,open,version 0.1
[8pt] com.appalachia.unity3d.appa.core.attributes,See this repository [here](https://github.com/AppalachiaInteractive/com.appalachia.unity3d.core.attributes).  It may be a private repository,task,open,version 0.1
[8pt] com.appalachia.unity3d.appa.core.audio,See this repository [here](https://github.com/AppalachiaInteractive/com.appalachia.unity3d.appa.audio).  It may be a private repository,task,open,version 0.1
[8pt] com.appalachia.unity3d.appa.core.autonomy,See this repository [here](https://github.com/AppalachiaInteractive/com.appalachia.unity3d.core.autonomy).  It may be a private repository,task,open,version 0.1
[8pt] com.appalachia.unity3d.appa.core.base,See this repository [here](https://github.com/AppalachiaInteractive/com.appalachia.unity3d.appa.base).  It may be a private repository,task,open,version 0.1
[8pt] com.appalachia.unity3d.appa.core.burstable,See this repository [here](https://github.com/AppalachiaInteractive/com.appalachia.unity3d.appa.burstable).  It may be a private repository,task,open,version 0.1
[8pt] com.appalachia.unity3d.appa.core.caching,See this repository [here](https://github.com/AppalachiaInteractive/com.appalachia.unity3d.appa.caching).  It may be a private repository,task,open,version 0.1
[8pt] com.appalachia.unity3d.appa.core.character,See this repository [here](https://github.com/AppalachiaInteractive/com.appalachia.unity3d.appa.character).  It may be a private repository,task,open,version 0.1
[8pt] com.appalachia.unity3d.appa.core.collections,See this repository [here](https://github.com/AppalachiaInteractive/com.appalachia.unity3d.appa.collections).  It may be a private repository,task,open,version 0.1
[8pt] com.appalachia.unity3d.appa.core.comparers,See this repository [here](https://github.com/AppalachiaInteractive/com.appalachia.unity3d.appa.comparers).  It may be a private repository,task,open,version 0.1
[8pt] com.appalachia.unity3d.appa.core.concurrency,See this repository [here](https://github.com/AppalachiaInteractive/com.appalachia.unity3d.appa.concurrency).  It may be a private repository,task,open,version 0.1
[8pt] com.appalachia.unity3d.appa.core.constants,See this repository [here](https://github.com/AppalachiaInteractive/com.appalachia.unity3d.appa.constants).  It may be a private repository,task,open,version 0.1
[8pt] com.appalachia.unity3d.appa.core.convex-decomposition,See this repository [here](https://github.com/AppalachiaInteractive/com.appalachia.unity3d.appa.convex-decomposition).  It may be a private repository,task,open,version 0.1
[8pt] com.appalachia.unity3d.appa.core.crafting,See this repository [here](https://github.com/AppalachiaInteractive/com.appalachia.unity3d.appa.crafting).  It may be a private repository,task,open,version 0.1
[8pt] com.appalachia.unity3d.appa.core.csv-helper,See this repository [here](https://github.com/AppalachiaInteractive/com.appalachia.unity3d.core.csv-helper).  It may be a private repository,task,open,version 0.1
[8pt] com.appalachia.unity3d.appa.core.curves,See this repository [here](https://github.com/AppalachiaInteractive/com.appalachia.unity3d.appa.curves).  It may be a private repository,task,open,version 0.1
[8pt] com.appalachia.unity3d.appa.core.curves,See this repository [here](https://github.com/AppalachiaInteractive/com.appalachia.unity3d.core.curves).  It may be a private repository,task,open,version 0.1
