title,body,labels,status,milestones
[100pt] Product Management,Ultimately drive the completion of the game and evaluate all direction and management efforts,task,open,version 0.1
[50pt] Project Management,Ultimately drive the completion of the production effort and communicate about the status clearly and proactively,task,open,version 0.1
[50pt] Direction,Offer direction to task assignees and clarify any pending questions,task,open,version 0.1
[25pt] Company Administrative,Administrative company tasks for registering the product and ensuring taxes etc are set,task,open,version 0.1
[50pt] Associate Production #1,Associate production responsibilities across multiple projects,task,open,version 0.1
[50pt] Associate Production #2,Associate production responsibilities across multiple projects,task,open,version 0.1
[50pt] Associate Production #3,Associate production responsibilities across multiple projects,task,open,version 0.1
[50pt] Associate Production #4,Associate production responsibilities across multiple projects,task,open,version 0.1
[50pt] Associate Production #5,Associate production responsibilities across multiple projects,task,open,version 0.1
[50pt] Associate Production #6,Associate production responsibilities across multiple projects,task,open,version 0.1
[50pt] Associate Production #7,Associate production responsibilities across multiple projects,task,open,version 0.1
[50pt] Associate Production #8,Associate production responsibilities across multiple projects,task,open,version 0.1
[50pt] Associate Production #9,Associate production responsibilities across multiple projects,task,open,version 0.1
[20pt] Compliance - General,Ensure we meet all certification & rating requirements for launch,task,open,version 0.1
[20pt] Compliance - Steam,Ensure we meet all certification & rating requirements for launch on Steam,task,open,version 0.1
[20pt] Compliance - Microsoft,Ensure we meet all certification & rating requirements for launch on XB,task,open,version 0.1
[20pt] Compliance - Sony,Ensure we meet all certification & rating requirements for launch on PS4/PS5,task,open,version 0.1
[20pt] Compliance - Certification Management,Ensure we meet all certification requirements for launch,task,open,version 0.1
[20pt] Compliance - Ratings,Ensure we meet all rating requirements for launch,task,open,version 0.1
[40pt] Finance - Accounting,Keep track of expenses,task,open,version 0.1
[20pt] Finance - Control & Analysis,Ensure budget is allocated appropriately and forcasted accurately,task,open,version 0.1
[20pt] Finance - Profit Sharing,Evaluate and record profit sharing information,task,open,version 0.1
[20pt] Finance - Financial Reports,Financial reporting for profit shares,task,open,version 0.1
[10pt] Online Stores - Integration,Integrate our builds with online stores and fill out necessary forms,task,open,version 0.1
[10pt] Online Stores - Key Distribution,Key distribution for Native peoples,task,open,version 0.1
[10pt] Online Stores - Tools Programming,Tools for publishing the game in app stores,task,open,version 0.1
[100pt] Community Manager,Manage the community communication via reddit & discord etc,task,open,version 0.1
[50pt] Community Manager Assistant - Launch,Extra community management help for the launch,task,open,version 0.1
[25pt] Community Manager Assistant - Early Access,Extra community management help for the early access release,task,open,version 0.1
[50pt] Early-Access - Planning,Plan everything about the early-access launch,task,open,version 0.1
[50pt] Early-Access - Producer,Produce the early-access launch,task,open,version 0.1
[50pt] Launch - Planning,Plan everything about the official launch,task,open,version 0.1
[50pt] Launch - Producer,Produce the official launch,task,open,version 0.1
[20pt] Online Product Management,Manage the product online,task,open,version 0.1
[20pt] Online Sales Analytics,Manage the product sales analytics,task,open,version 0.1
[50pt] Project Closer,Turn the lights off,task,open,version 0.1
[20pt] Release Planning 0.1,Plan and track release 0.1,task,open,version 0.1
[20pt] Release Planning 0.2,Plan and track release 0.2,task,open,version 0.1
[20pt] Release Planning 0.3,Plan and track release 0.3,task,open,version 0.1
[20pt] Release Planning 0.4,Plan and track release 0.4,task,open,version 0.1
[20pt] Release Planning 0.5,Plan and track release 0.5,task,open,version 0.1
[20pt] Release Planning 0.6,Plan and track release 0.6,task,open,version 0.1
[20pt] Release Planning 0.7,Plan and track release 0.7,task,open,version 0.1
[20pt] Release Planning 0.8,Plan and track release 0.8,task,open,version 0.1
[20pt] Release Planning 0.9,Plan and track release 0.9,task,open,version 0.1
[40pt] Release Planning 1.0,Plan and track release 1.0,task,open,version 0.1
