title,body,labels,status,milestones
[40pt] Automated Release Tools,Placeholder to create Automated Release Tools,task,open,version 0.1
[40pt] Build Tools,Placeholder to create Build Tools,task,open,version 0.1
[20pt] Data Backups,Placeholder to create and run data backups of critical non-SCM data,task,open,version 0.1
[10pt] Data Management,Placeholder to manage the game's metadata,task,open,version 0.1
[40pt] General Architecture,Placeholder to create general org architecture to allow multiple contributors,task,open,version 0.1
[40pt] General DevOps,Placeholder for any DevOps work,task,open,version 0.1
[40pt] General,Placeholder for general technical work,task,open,version 0.1
[20pt] Internal Automation,Placeholder to create Internal Automation,task,open,version 0.1
[40pt] Internal Tooling,Placeholder to create Internal Tooling,task,open,version 0.1
[20pt] Online Systems Administration,Placeholder to manage the adminstration of online systems,task,open,version 0.1
[20pt] Security Review and Analysis,Placeholder to create Security Review and Analysis,task,open,version 0.1
[10pt] Server Maintenance,Placeholder to maintain development servers,task,open,version 0.1
[10pt] Source Control,Placeholder to create design and maintain org source control strategy/LFS,task,open,version 0.1
