title,body,labels,status,milestones
[20pt] Project Management,Ultimately drive the completion of the effort and communicate about the status clearly and proactively,task,open,version 0.1
[10pt] Direction,Offer direction to task assignees and clarify any pending questions,task,open,version 0.1
[3pt] Rocks - Granite - Grey,Create Texture2D of Rocks - Granite - Grey,task,open,verson 0.1
[3pt] Rocks - Granite - Red,Create Texture2D of Rocks - Granite - Red,task,open,verson 0.1
[3pt] Rocks - Limestone - Buff,Create Texture2D of Rocks - Limestone - Buff,task,open,verson 0.1
[3pt] Rocks - Limestone - Grey,Create Texture2D of Rocks - Limestone - Grey,task,open,verson 0.1
[3pt] Rocks - Sandstone - Brown,Create Texture2D of Rocks - Sandstone - Brown,task,open,verson 0.1
[3pt] Rocks - Sandstone - Grey,Create Texture2D of Rocks - Sandstone - Grey,task,open,verson 0.1
[3pt] Rocks - Shale - Black,Create Texture2D of Rocks - Shale - Black,task,open,verson 0.1
[3pt] Rocks - Shale - Green,Create Texture2D of Rocks - Shale - Green,task,open,verson 0.1
[3pt] Rocks - Shale - Mixed,Create Texture2D of Rocks - Shale - Mixed,task,open,verson 0.1
[8pt] Terrain - Beech Maple,Create HQ Texture2D for Terrain - Beech Maple,task,open,version 0.1
[8pt] Terrain - Dirt,Create HQ Texture2D for Terrain - Dirt,task,open,version 0.1
[8pt] Terrain - Forest Leaf,Create HQ Texture2D for Terrain - Forest Leaf,task,open,version 0.1
[8pt] Terrain - Forest Mossy,Create HQ Texture2D for Terrain - Forest Mossy,task,open,version 0.1
[3pt] Terrain - Granite,Create HQ Texture2D for Terrain - Granite,task,open,version 0.1
[8pt] Terrain - Grass,Create HQ Texture2D for Terrain - Grass,task,open,version 0.1
[3pt] Terrain - Limestone,Create HQ Texture2D for Terrain - Limestone,task,open,version 0.1
[8pt] Terrain - Pine Rocky,Create HQ Texture2D for Terrain - Pine Rocky,task,open,version 0.1
[8pt] Terrain - Riparian,Create HQ Texture2D for Terrain - Riparian,task,open,version 0.1
[8pt] Terrain - River Bank,Create HQ Texture2D for Terrain - River Bank,task,open,version 0.1
[3pt] Terrain - Sandstone,Create HQ Texture2D for Terrain - Sandstone,task,open,version 0.1
[8pt] Terrain - Shale Barrens,Create HQ Texture2D for Terrain - Shale Barrens,task,open,version 0.1
[3pt] Terrain - Shale,Create HQ Texture2D for Terrain - Shale,task,open,version 0.1
[5pt] Crafting - Copper (Age 0),Create Texture2D for crafting with Copper (Age 0),task,open,version 0.1
[5pt] Crafting - Copper (Age 1),Create Texture2D for crafting with Copper (Age 1),task,open,version 0.1
[5pt] Crafting - Copper (Age 2),Create Texture2D for crafting with Copper (Age 2),task,open,version 0.1
[5pt] Crafting - Copper (Age 3),Create Texture2D for crafting with Copper (Age 3),task,open,version 0.1
[5pt] Crafting - Copper (Age 4),Create Texture2D for crafting with Copper (Age 4),task,open,version 0.1
[5pt] Crafting - Copper (Age 5),Create Texture2D for crafting with Copper (Age 5),task,open,version 0.1
[5pt] Crafting - Copper (Age 6),Create Texture2D for crafting with Copper (Age 6),task,open,version 0.1
[5pt] Crafting - Copper (Age 7),Create Texture2D for crafting with Copper (Age 7),task,open,version 0.1
